Date,Price,Open,High,Low,Vol.,Change %
1/26/2024,94.79,94.8,94.81,94.79,76.64K,0.00%
1/25/2024,94.79,94.78,94.81,94.77,133.79K,0.02%
1/24/2024,94.78,94.79,94.81,94.77,173.41K,-0.02%
1/23/2024,94.79,94.78,94.8,94.78,99.58K,0.01%
1/22/2024,94.78,94.79,94.8,94.77,130.22K,-0.02%
1/21/2024,94.79,94.79,94.79,94.79,,-0.01%
1/19/2024,94.8,94.81,94.81,94.79,129.09K,-0.02%
1/18/2024,94.82,94.82,94.83,94.81,90.40K,0.00%
1/17/2024,94.82,94.84,94.85,94.8,208.61K,-0.03%
1/16/2024,94.84,94.87,94.88,94.82,251.88K,-0.02%
1/15/2024,94.86,94.86,94.86,94.86,,0.00%
1/14/2024,94.86,94.87,94.87,94.86,2.11K,-0.02%
1/12/2024,94.88,94.86,94.9,94.85,188.10K,0.02%
1/11/2024,94.86,94.85,94.88,94.82,202.55K,0.02%
1/10/2024,94.85,94.85,94.86,94.84,103.83K,0.01%
1/9/2024,94.84,94.83,94.85,94.82,52.43K,-0.01%
1/8/2024,94.85,94.86,94.86,94.83,101.53K,0.01%
1/7/2024,94.83,94.86,94.86,94.83,3.94K,-0.02%
1/5/2024,94.86,94.84,94.88,94.81,200.74K,0.01%
1/4/2024,94.85,94.86,94.87,94.84,114.16K,-0.02%
1/3/2024,94.86,94.89,94.89,94.86,74.83K,-0.03%
1/2/2024,94.89,94.92,94.92,94.89,56.10K,-0.03%
1/1/2024,94.92,94.92,94.92,94.92,,0.14%
12/29/2023,94.79,94.79,94.79,94.78,10.07K,0.00%
12/28/2023,94.79,94.79,94.79,94.79,6.33K,0.00%
12/27/2023,94.79,94.78,94.8,94.78,6.31K,0.01%
12/26/2023,94.79,94.79,94.79,94.77,5.13K,0.00%
12/22/2023,94.79,94.78,94.79,94.78,9.32K,0.01%
12/21/2023,94.78,94.78,94.79,94.76,18.81K,0.01%
12/20/2023,94.76,94.76,94.78,94.76,17.77K,0.01%
12/19/2023,94.75,94.75,94.76,94.75,14.22K,0.00%
12/18/2023,94.75,94.75,94.76,94.75,4.61K,0.00%
12/15/2023,94.75,94.77,94.78,94.75,16.28K,-0.02%
12/14/2023,94.78,94.78,94.81,94.77,16.56K,0.02%
12/13/2023,94.75,94.71,94.78,94.71,26.21K,0.05%
12/12/2023,94.71,94.72,94.74,94.71,9.83K,0.00%
12/11/2023,94.71,94.71,94.72,94.71,7.41K,-0.01%
12/10/2023,94.72,94.72,94.72,94.72,,0.01%
12/8/2023,94.71,94.75,94.75,94.71,11.91K,-0.05%
12/7/2023,94.76,94.75,94.76,94.75,11.98K,0.01%
12/6/2023,94.75,94.75,94.75,94.75,14.10K,0.00%
12/5/2023,94.75,94.75,94.77,94.75,14.32K,0.01%
12/4/2023,94.75,94.76,94.76,94.74,16.96K,-0.02%
12/3/2023,94.76,94.75,94.76,94.75,0.57K,0.00%
12/1/2023,94.76,94.68,94.77,94.68,41.24K,0.10%
11/30/2023,94.68,94.68,94.68,94.66,139.83K,0.00%
11/29/2023,94.68,94.67,94.68,94.66,119.21K,0.02%
11/28/2023,94.65,94.64,94.67,94.64,100.98K,0.02%
11/27/2023,94.64,94.64,94.64,94.63,72.41K,0.01%
11/26/2023,94.63,94.64,94.64,94.63,1.82K,0.00%
11/24/2023,94.63,94.64,94.64,94.63,43.38K,-0.01%
11/23/2023,94.64,94.64,94.64,94.64,,0.00%
11/22/2023,94.64,94.65,94.66,94.64,74.31K,-0.02%
11/21/2023,94.65,94.66,94.67,94.65,47.80K,-0.01%
11/20/2023,94.66,94.67,94.67,94.65,34.35K,0.00%
11/19/2023,94.67,94.67,94.67,94.67,,0.00%
11/17/2023,94.67,94.68,94.68,94.67,58.93K,-0.01%
11/16/2023,94.68,94.67,94.68,94.67,64.62K,0.01%
11/15/2023,94.67,94.68,94.68,94.67,89.11K,-0.01%
11/14/2023,94.68,94.6,94.68,94.59,183.03K,0.07%
11/13/2023,94.61,94.61,94.61,94.6,55.49K,0.00%
11/12/2023,94.61,94.61,94.61,94.61,,0.00%
11/10/2023,94.61,94.61,94.63,94.61,12.82K,0.00%
11/9/2023,94.61,94.63,94.63,94.61,97.08K,-0.02%
11/8/2023,94.63,94.64,94.64,94.63,33.75K,-0.01%
11/7/2023,94.64,94.64,94.64,94.63,55.24K,0.00%
11/6/2023,94.64,94.64,94.64,94.63,130.00K,0.00%
11/5/2023,94.64,94.64,94.64,94.64,,0.00%
11/3/2023,94.64,94.6,94.65,94.6,123.58K,0.05%
11/2/2023,94.6,94.61,94.62,94.6,89.51K,0.00%
11/1/2023,94.6,94.57,94.61,94.57,146.78K,-0.01%
10/31/2023,94.61,94.61,94.61,94.6,68.09K,0.00%
10/30/2023,94.61,94.63,94.63,94.61,57.15K,-0.02%
10/29/2023,94.63,94.63,94.63,94.63,,0.00%
10/27/2023,94.63,94.62,94.63,94.62,74.23K,0.00%
10/26/2023,94.62,94.61,94.63,94.6,118.01K,0.02%
10/25/2023,94.6,94.61,94.61,94.6,35.85K,-0.01%
10/24/2023,94.61,94.61,94.61,94.6,101.13K,0.00%
10/23/2023,94.61,94.62,94.62,94.61,42.48K,0.00%
10/22/2023,94.61,94.61,94.61,94.61,,-0.01%
10/20/2023,94.62,94.61,94.62,94.61,178.52K,0.03%
10/19/2023,94.6,94.57,94.61,94.56,210.65K,0.03%
10/18/2023,94.57,94.56,94.57,94.55,119.60K,0.01%
10/17/2023,94.56,94.58,94.58,94.54,105.84K,-0.03%
10/16/2023,94.58,94.58,94.58,94.58,33.12K,0.00%
10/15/2023,94.58,94.58,94.58,94.58,,0.00%
10/13/2023,94.59,94.58,94.6,94.58,58.80K,0.02%
10/12/2023,94.57,94.6,94.6,94.56,155.21K,-0.02%
10/11/2023,94.6,94.6,94.6,94.59,112.26K,0.00%
10/10/2023,94.6,94.6,94.61,94.58,60.74K,0.00%
10/9/2023,94.6,94.57,94.61,94.56,64.66K,0.01%
10/8/2023,94.59,94.57,94.59,94.57,3.99K,0.04%
10/6/2023,94.55,94.57,94.57,94.54,102.78K,-0.03%
10/5/2023,94.58,94.57,94.59,94.57,114.32K,0.01%
10/4/2023,94.57,94.54,94.58,94.54,125.16K,0.04%
10/3/2023,94.54,94.54,94.55,94.52,68.94K,0.00%
10/2/2023,94.54,94.56,94.56,94.53,45.89K,0.00%
10/1/2023,94.54,94.56,94.56,94.54,13.62K,-0.04%
9/29/2023,94.57,94.6,94.61,94.57,47.83K,-0.02%
9/28/2023,94.59,94.58,94.6,94.57,11.79K,0.02%
9/27/2023,94.57,94.6,94.6,94.57,43.43K,-0.02%
9/26/2023,94.59,94.58,94.6,94.57,19.73K,0.00%
9/25/2023,94.58,94.58,94.59,94.57,14.65K,0.00%
9/24/2023,94.58,94.58,94.58,94.58,,0.00%
9/22/2023,94.58,94.57,94.58,94.57,35.08K,0.02%
9/21/2023,94.57,94.56,94.57,94.56,22.96K,0.00%
9/20/2023,94.57,94.57,94.59,94.56,40.41K,0.00%
9/19/2023,94.57,94.57,94.57,94.57,14.19K,0.00%
9/18/2023,94.57,94.58,94.58,94.57,17.88K,-0.01%
9/17/2023,94.57,94.57,94.57,94.57,,-0.01%
9/15/2023,94.58,94.57,94.58,94.56,20.65K,0.02%
9/14/2023,94.57,94.56,94.57,94.55,8.02K,0.02%
9/13/2023,94.55,94.56,94.56,94.51,14.73K,0.00%
9/12/2023,94.55,94.55,94.56,94.54,10.47K,0.00%
9/11/2023,94.55,94.56,94.56,94.54,11.08K,0.00%
9/10/2023,94.55,94.55,94.55,94.55,,0.00%
9/8/2023,94.55,94.56,94.57,94.55,9.04K,0.00%
9/7/2023,94.55,94.55,94.56,94.54,5.08K,0.00%
9/6/2023,94.55,94.57,94.57,94.53,8.54K,0.00%
9/5/2023,94.56,94.58,94.58,94.55,12.65K,-0.03%
9/4/2023,94.58,94.58,94.58,94.58,,0.00%
9/3/2023,94.58,94.58,94.58,94.58,,0.00%
9/1/2023,94.58,94.56,94.6,94.56,24.87K,0.03%
8/31/2023,94.56,94.55,94.56,94.54,75.52K,0.01%
8/30/2023,94.55,94.55,94.57,94.54,61.93K,0.01%
8/29/2023,94.54,94.5,94.56,94.5,157.86K,0.04%
8/28/2023,94.5,94.51,94.51,94.5,57.01K,-0.01%
8/27/2023,94.51,94.51,94.51,94.51,2.35K,0.00%
8/25/2023,94.51,94.54,94.55,94.51,157.70K,-0.03%
8/24/2023,94.54,94.57,94.57,94.54,112.49K,-0.02%
8/23/2023,94.57,94.55,94.57,94.55,56.33K,0.01%
8/22/2023,94.56,94.56,94.56,94.55,29.99K,0.00%
8/21/2023,94.56,94.58,94.58,94.55,32.63K,-0.02%
8/20/2023,94.58,94.58,94.58,94.58,,0.00%
8/18/2023,94.58,94.57,94.58,94.57,27.87K,0.02%
8/17/2023,94.57,94.57,94.57,94.56,47.29K,0.00%
8/16/2023,94.57,94.58,94.58,94.57,19.62K,-0.01%
8/15/2023,94.57,94.57,94.58,94.56,36.91K,0.00%
8/14/2023,94.57,94.58,94.58,94.57,27.29K,-0.01%
8/13/2023,94.58,94.58,94.58,94.58,,0.00%
8/11/2023,94.58,94.6,94.6,94.57,59.40K,-0.02%
8/10/2023,94.6,94.58,94.61,94.58,75.99K,0.01%
8/9/2023,94.58,94.58,94.59,94.58,41.76K,0.00%
8/8/2023,94.58,94.58,94.6,94.58,57.33K,0.00%
8/7/2023,94.58,94.6,94.6,94.57,37.85K,0.00%
8/6/2023,94.58,94.6,94.6,94.58,1.52K,-0.01%
8/4/2023,94.6,94.58,94.6,94.56,71.04K,0.02%
8/3/2023,94.57,94.59,94.59,94.57,47.88K,-0.01%
8/2/2023,94.58,94.58,94.6,94.57,54.44K,0.00%
8/1/2023,94.58,94.58,94.58,94.58,29.48K,-0.04%
7/31/2023,94.62,94.62,94.63,94.62,28.30K,0.00%
7/28/2023,94.62,94.62,94.64,94.61,75.45K,0.00%
7/27/2023,94.62,94.62,94.62,94.61,146.67K,0.00%
7/26/2023,94.62,94.63,94.63,94.61,186.60K,0.00%
7/25/2023,94.62,94.64,94.64,94.62,72.40K,-0.02%
7/24/2023,94.64,94.64,94.64,94.63,42.89K,0.00%
7/21/2023,94.64,94.64,94.65,94.64,25.87K,0.00%
7/20/2023,94.64,94.65,94.65,94.64,44.30K,-0.01%
7/19/2023,94.65,94.64,94.66,94.64,31.94K,0.00%
7/18/2023,94.65,94.65,94.67,94.64,43.17K,0.00%
7/17/2023,94.65,94.66,94.67,94.65,27.67K,-0.01%
7/14/2023,94.66,94.67,94.67,94.65,66.02K,-0.01%
7/13/2023,94.67,94.67,94.68,94.66,85.72K,0.00%
7/12/2023,94.67,94.64,94.68,94.64,106.12K,0.03%
7/11/2023,94.64,94.64,94.65,94.64,34.29K,0.00%
7/10/2023,94.64,94.64,94.65,94.64,21.05K,0.00%
7/7/2023,94.64,94.64,94.67,94.62,66.55K,0.01%
7/6/2023,94.63,94.66,94.66,94.61,113.59K,-0.03%
7/5/2023,94.66,94.66,94.67,94.66,42.64K,0.00%
7/3/2023,94.66,94.66,94.67,94.64,31.90K,-0.04%
6/30/2023,94.7,94.69,94.7,94.69,16.79K,0.01%
6/29/2023,94.69,94.72,94.72,94.69,20.46K,-0.03%
6/28/2023,94.72,94.72,94.73,94.7,25.17K,0.00%
6/27/2023,94.72,94.72,94.73,94.72,11.17K,0.00%
6/26/2023,94.72,94.73,94.74,94.72,4.95K,-0.01%
6/23/2023,94.73,94.72,94.74,94.72,7.86K,0.01%
6/22/2023,94.72,94.73,94.73,94.67,23.49K,0.00%
6/21/2023,94.72,94.72,94.73,94.7,13.70K,0.00%
6/20/2023,94.72,94.73,94.73,94.72,13.50K,-0.01%
6/16/2023,94.73,94.74,94.74,94.72,13.13K,-0.01%
6/15/2023,94.74,94.75,94.75,94.72,26.74K,-0.01%
6/14/2023,94.75,94.75,94.76,94.67,32.64K,0.02%
6/13/2023,94.73,94.7,94.77,94.64,28.84K,0.03%
6/12/2023,94.7,94.7,94.73,94.69,14.18K,-0.01%
6/9/2023,94.71,94.73,94.74,94.71,9.31K,-0.02%
6/8/2023,94.73,94.72,94.76,94.7,15.37K,0.00%
6/7/2023,94.73,94.75,94.75,94.69,18.61K,-0.01%
6/6/2023,94.74,94.74,94.75,94.72,17.47K,0.01%
6/5/2023,94.73,94.71,94.77,94.71,14.43K,0.01%
6/2/2023,94.72,94.78,94.78,94.69,27.32K,-0.06%
6/1/2023,94.78,94.74,94.8,94.72,28.52K,0.07%
5/31/2023,94.71,94.67,94.74,94.66,186.28K,0.05%
5/30/2023,94.66,94.67,94.7,94.64,89.90K,-0.01%
5/26/2023,94.67,94.67,94.72,94.66,114.12K,0.00%
5/25/2023,94.67,94.72,94.75,94.64,205.54K,-0.07%
5/24/2023,94.74,94.8,94.82,94.7,185.90K,-0.06%
5/23/2023,94.8,94.83,94.83,94.78,112.17K,-0.02%
5/22/2023,94.82,94.88,94.9,94.81,125.18K,-0.05%
5/19/2023,94.87,94.86,94.91,94.81,139.52K,0.01%
5/18/2023,94.86,94.92,94.93,94.84,117.01K,-0.06%
5/17/2023,94.92,94.96,94.97,94.91,65.38K,-0.03%
5/16/2023,94.95,94.97,94.99,94.93,87.87K,-0.02%
5/15/2023,94.97,94.99,95,94.97,57.46K,-0.01%
5/12/2023,94.98,95.03,95.04,94.98,71.06K,-0.05%
5/11/2023,95.03,95.04,95.07,95,88.48K,-0.01%
5/10/2023,95.04,94.98,95.06,94.95,96.45K,0.06%
5/9/2023,94.98,95,95.02,94.97,88.18K,-0.01%
5/8/2023,94.99,95.03,95.03,94.99,76.49K,-0.03%
5/5/2023,95.02,95.1,95.1,94.98,96.44K,-0.11%
5/4/2023,95.12,95.08,95.19,95.05,128.46K,0.13%
5/3/2023,95,95.03,95.08,94.98,155.74K,-0.05%
5/2/2023,95.05,94.9,95.11,94.88,153.82K,0.16%
5/1/2023,94.9,94.97,94.97,94.88,40.47K,0.00%
4/28/2023,94.9,94.89,94.92,94.88,77.03K,0.01%
4/27/2023,94.89,94.94,94.95,94.89,71.30K,-0.07%
4/26/2023,94.96,94.97,94.98,94.91,105.12K,-0.01%
4/25/2023,94.97,94.92,95,94.9,146.79K,0.08%
4/24/2023,94.89,94.89,94.91,94.88,53.13K,0.00%
4/21/2023,94.89,94.91,94.91,94.88,54.19K,-0.01%
4/20/2023,94.9,94.89,94.91,94.87,81.42K,0.02%
4/19/2023,94.88,94.91,94.91,94.88,59.40K,-0.03%
4/18/2023,94.91,94.9,94.91,94.89,65.26K,0.00%
4/17/2023,94.91,94.94,94.94,94.89,74.37K,-0.03%
4/14/2023,94.94,95.02,95.02,94.91,113.04K,-0.08%
4/13/2023,95.02,95.01,95.05,95,68.10K,0.02%
4/12/2023,95,95,95.05,94.97,92.37K,0.00%
4/11/2023,95,95,95.02,94.97,46.75K,0.00%
4/10/2023,95,95.03,95.05,94.99,18.74K,-0.03%
4/7/2023,95.03,95.12,95.12,95.02,14.14K,-0.11%
4/6/2023,95.13,95.15,95.19,95.11,33.98K,-0.04%
4/5/2023,95.17,95.16,95.27,95.11,62.80K,0.03%
4/4/2023,95.14,95.06,95.17,95.02,65.01K,0.09%
4/3/2023,95.05,95.08,95.09,95.03,45.40K,-0.02%
3/31/2023,95.07,95.07,95.08,95.03,17.56K,-0.01%
3/30/2023,95.08,95.09,95.12,95.05,18.85K,-0.01%
3/29/2023,95.09,95.1,95.13,95.08,29.57K,0.00%
3/28/2023,95.09,95.08,95.11,95.06,23.76K,0.01%
3/27/2023,95.08,95.2,95.2,95.08,25.31K,-0.13%
