Date,Price,Open,High,Low,Vol.,Change %
1/26/2024,94.99,95.01,95.01,94.98,45.01K,-0.02%
1/25/2024,95,94.96,95.01,94.96,63.75K,0.05%
1/24/2024,94.96,94.99,95.01,94.96,68.61K,-0.02%
1/23/2024,94.98,94.96,94.99,94.95,47.91K,0.01%
1/22/2024,94.97,94.99,94.99,94.96,57.14K,-0.02%
1/21/2024,94.99,94.99,94.99,94.99,,0.00%
1/19/2024,94.99,95.02,95.03,94.96,60.48K,-0.03%
1/18/2024,95.02,95.02,95.05,95,38.19K,0.00%
1/17/2024,95.01,95.08,95.1,95,95.67K,-0.07%
1/16/2024,95.08,95.16,95.16,95.07,150.97K,-0.05%
1/15/2024,95.14,95.15,95.15,95.13,13.71K,-0.01%
1/14/2024,95.14,95.16,95.16,95.14,1.06K,-0.02%
1/12/2024,95.17,95.11,95.19,95.09,89.67K,0.07%
1/11/2024,95.1,95.07,95.12,95.03,86.30K,0.04%
1/10/2024,95.06,95.05,95.07,95.05,33.14K,0.02%
1/9/2024,95.04,95.04,95.06,95.03,37.64K,-0.02%
1/8/2024,95.07,95.06,95.09,95.03,59.31K,0.03%
1/7/2024,95.04,95.06,95.06,95.03,1.11K,-0.02%
1/5/2024,95.06,95.04,95.11,94.99,86.72K,0.01%
1/4/2024,95.04,95.08,95.09,95.04,52.67K,-0.05%
1/3/2024,95.09,95.13,95.13,95.07,43.44K,-0.05%
1/2/2024,95.14,95.18,95.18,95.13,24.41K,-0.05%
1/1/2024,95.18,95.18,95.18,95.18,0.07K,0.26%
12/29/2023,94.93,94.93,94.93,94.91,29.07K,0.00%
12/28/2023,94.93,94.93,94.93,94.92,12.19K,-0.02%
12/27/2023,94.94,94.9,94.94,94.9,25.48K,0.03%
12/26/2023,94.92,94.93,94.93,94.9,14.80K,-0.02%
12/25/2023,94.93,94.93,94.93,94.93,,0.00%
12/22/2023,94.93,94.91,94.94,94.9,59.30K,0.02%
12/21/2023,94.9,94.92,94.92,94.89,41.46K,0.02%
12/20/2023,94.89,94.88,94.93,94.88,51.87K,0.02%
12/19/2023,94.87,94.86,94.88,94.86,30.40K,0.02%
12/18/2023,94.86,94.86,94.88,94.86,16.16K,0.00%
12/17/2023,94.86,94.86,94.86,94.86,,0.00%
12/15/2023,94.86,94.89,94.89,94.84,77.77K,-0.03%
12/14/2023,94.89,94.9,94.96,94.89,118.45K,0.02%
12/13/2023,94.87,94.78,94.9,94.78,158.25K,0.10%
12/12/2023,94.78,94.79,94.82,94.78,61.13K,0.00%
12/11/2023,94.78,94.79,94.79,94.77,42.36K,-0.01%
12/10/2023,94.79,94.79,94.79,94.79,,0.00%
12/8/2023,94.79,94.85,94.85,94.78,88.47K,-0.06%
12/7/2023,94.85,94.85,94.86,94.82,30.75K,0.01%
12/6/2023,94.84,94.85,94.85,94.83,42.52K,-0.01%
12/5/2023,94.85,94.83,94.87,94.83,56.51K,0.02%
12/4/2023,94.83,94.85,94.86,94.82,63.97K,-0.02%
12/3/2023,94.85,94.85,94.85,94.85,2.91K,-0.01%
12/1/2023,94.86,94.73,94.86,94.73,128.93K,0.15%
11/30/2023,94.71,94.71,94.72,94.7,19.46K,-0.01%
11/29/2023,94.72,94.7,94.73,94.69,19.18K,0.03%
11/28/2023,94.69,94.67,94.69,94.66,20.96K,0.03%
